date,sentiment_mean,sentiment_std,sentiment_max,sentiment_min,sentiment_count,positive_ratio,negative_ratio,sentiment_range,sentiment_mom_3d,sentiment_mom_7d,bull_bear_ratio
2026-01-12,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-13,0.5968824028968811,0.0,0.5968824028968811,0.5968824028968811,1,1.0,0.0,0.0,0.29844120144844055,0.29844120144844055,10.0
2026-01-14,0.5994078367948532,0.10545404255390167,0.7048618793487549,0.49395379424095154,2,1.0,0.0,0.21090808510780334,0.3987634132305781,0.3987634132305781,10.0
2026-01-15,0.7440488934516907,0.0,0.7440488934516907,0.7440488934516907,1,1.0,0.0,0.0,0.6467797110478083,0.48508478328585625,10.0
2026-01-20,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.4478189100821813,0.388067826628685,0.0
2026-01-21,-0.830344557762146,0.0,-0.830344557762146,-0.830344557762146,1,0.0,1.0,0.0,-0.02876522143681844,0.18499909589687982,0.0
2026-01-22,0.9214457273483276,0.0,0.9214457273483276,0.9214457273483276,1,1.0,0.0,0.0,0.030367056528727215,0.2902057575328009,10.0
2026-01-23,0.7048510313034058,0.0,0.7048510313034058,0.7048510313034058,1,1.0,0.0,0.0,0.2653174002965291,0.39089876200471607,10.0
2026-02-03,-0.40179059610647316,0.6225070881967654,0.9055615663528442,-0.9702390432357788,34,0.14705882352941177,0.5882352941176471,1.875800609588623,0.4081687208484201,0.2482311907185226,0.24999957500072248
2026-02-04,-0.2501131284236908,0.4488095755452513,0.8831305503845215,-0.961402416229248,50,0.04,0.36,1.8445329666137695,0.017649102257747257,0.12687105283015915,0.11111080246999315
2026-02-05,-0.3538053302388442,0.54826026377827,0.8950055837631226,-0.9732903838157654,76,0.07894736842105263,0.4605263157894737,1.868295967578888,-0.3352363515896694,-0.029965264839917256,0.17142819918448177
2026-02-06,-0.18904596376113403,0.5027414925635514,0.9344801902770996,-0.965752899646759,78,0.1282051282051282,0.358974358974359,1.9002330899238586,-0.26432147414122303,-0.05697183109150783,0.3571418622476695
2026-02-07,-0.1910939370763713,0.42766345046045234,0.9315213561058044,-0.9683696031570435,58,0.05172413793103448,0.3103448275862069,1.899890959262848,-0.24464841035878315,0.034349686149317125,0.16666612963136007
2026-02-08,-0.06252732048643396,0.3758918323833278,0.8487526774406433,-0.92292320728302,47,0.0851063829787234,0.1702127659574468,1.7716758847236633,-0.1475557404413131,-0.10621789211279166,0.49999706251725773
2026-02-09,-0.1206406220084145,0.3925059853314936,0.9169985055923462,-0.9640471339225769,84,0.07142857142857142,0.21428571428571427,1.881045639514923,-0.12475395985707326,-0.22414527115733737,0.333331777785037
2026-02-10,-0.1996424521430064,0.33546547143300665,0.0,-0.9634224772453308,59,0.0,0.2711864406779661,0.9634224772453308,-0.12760346487928495,-0.19526696487684214,0.0
2026-02-11,-0.2970575781501069,0.4013645248750934,0.0,-0.9692736864089966,49,0.0,0.3673469387755102,0.9692736864089966,-0.20578021743384264,-0.20197331483775877,0.0
