variant,model,n_features,accuracy,precision,recall,f1
C0_tech_only,LightGBMClassifier,16,0.5230769230769231,0.43478260869565216,0.35714285714285715,0.39215686274509803
C0_tech_only,LogisticRegression,16,0.5538461538461539,0.47368421052631576,0.32142857142857145,0.3829787234042553
C1_tech_plus_sentiment,LightGBMClassifier,27,0.5076923076923077,0.4230769230769231,0.39285714285714285,0.4074074074074074
C1_tech_plus_sentiment,LogisticRegression,27,0.5692307692307692,0.0,0.0,0.0
C2_tech_plus_all,LightGBMClassifier,33,0.5076923076923077,0.3888888888888889,0.25,0.30434782608695654
C2_tech_plus_all,LogisticRegression,33,0.5692307692307692,0.0,0.0,0.0
