Date,Price,Open,High,Low,Volume,Change_pct,log_return,return_lag1,hl_spread,oc_spread,vol_log,volume_change_pct,obv,obv_change_pct,price_vs_sma20,price_vs_sma50,price_vs_sma200,rsi_14,macd_hist,bband_pos,atr_pct,vol_10d,vol_30d,target_next_log_return,target_direction,sentiment_mean,sentiment_std,sentiment_max,sentiment_min,sentiment_count,positive_ratio,negative_ratio,sentiment_range,sentiment_mom_3d,sentiment_mom_7d,bull_bear_ratio,trends_bitcoin,trends_btc,trends_bitcoin_price,trends_mean,fgi_value,fgi_value_norm,fgi_classification,has_news
2021-05-01,57807.1,57719.1,58449.4,57029.5,63410.0,0.15,0.0015026741073212576,0.07479147416614676,0.024562726723879963,0.0015246252973452462,11.057392626952947,-0.388760362444573,-641570.0,-0.08994581406564728,0.02486544752797104,0.0,0.0,55.12548817690966,379.33443724554013,0.5800657045083283,0.0652291352248624,0.045109374139392984,0.0,-0.02103548473999928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.51,Neutral,False
2021-05-02,56603.8,57807.2,57868.4,56110.5,53610.0,-2.08,-0.02103548473999928,0.0015026741073212576,0.03105621884043123,-0.020817476023747807,10.88950954988395,-0.15454975555906003,-695180.0,0.0835606403042537,0.006440520202359412,0.0,0.0,51.48953438723887,436.79313083276566,0.5210410894692229,0.05805175624251376,0.04331567190418748,0.0,0.009949666166788709,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.68,Greed,False
2021-05-03,57169.8,56605.8,58925.1,56562.4,89240.0,1.0,0.009949666166788709,-0.02103548473999928,0.04132776395929314,0.009963643301569803,11.399095854221022,0.6646148106696512,-605940.0,-0.12836963088696451,0.02229457565059967,0.0,0.0,53.05792902963121,496.0175216526824,0.5787730572201395,0.05637504416667542,0.0427207931525783,0.0,-0.06184027196395761,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.66,Greed,False
2021-05-04,53741.5,57170.6,57201.3,53741.5,132330.0,-6.0,-0.06184027196395761,0.009949666166788709,0.06437855288743341,-0.05998012964705633,11.793061638603954,0.4828552218735993,-738270.0,0.21838795920388154,-0.03100507878723946,0.0,0.0,43.81710573810845,297.20655800760596,0.38104902705278837,0.05974193925683931,0.04779692359850323,0.0,0.0665780418283259,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.61,Greed,False
2021-05-05,57441.3,53872.5,57936.4,53872.5,119820.0,6.88,0.0665780418283259,-0.06184027196395761,0.07074874698170135,0.06624530140609779,11.693754241455201,-0.09453638630695982,-618450.0,-0.16229834613352834,0.04112495500462732,0.0,0.0,53.27498803628903,401.3073279874902,0.6792451566576503,0.057247013162008135,0.04991402985994184,0.0,-0.018198658194204725,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.68,Greed,False
2021-05-06,56405.4,57441.0,58364.9,55294.5,109020.0,-1.8,-0.018198658194204725,0.0665780418283259,0.054434504497796334,-0.018028934036663682,11.599295803205079,-0.09013520280420628,-727470.0,0.1762794081979142,0.026978827417163398,0.0,0.0,50.70142826709782,386.67419872940707,0.6309580200615571,0.056085942126108505,0.04144206076541542,0.0,0.016384729130073605,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.48,Neutral,False
2021-05-07,57337.2,56411.4,58639.3,55300.1,110010.0,1.65,0.016384729130073605,-0.018198658194204725,0.058237932790579316,0.016411576383496874,11.608335639774886,0.009080902586681372,-617460.0,-0.1512227308342612,0.04652098738437105,0.0,0.0,52.90523297872426,423.080762881616,0.7423991355997546,0.053802517637514834,0.0413618053975706,0.0,0.02587396752421748,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.65,Greed,False
2021-05-08,58840.1,57330.3,59471.1,56972.2,101270.0,2.62,0.02587396752421748,0.016384729130073605,0.042469336387939545,0.02633511424150921,11.52555537087025,-0.07944732297063906,-516190.0,-0.16401062416998669,0.07137758821734286,0.0,0.0,56.298566263741044,525.0515069755825,0.8543234111592398,0.05253887836939193,0.041801710914010415,0.03791205693567107,-0.010280381353958312,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.64,Greed,False
2021-05-09,58238.3,58840.6,59227.0,56414.4,103590.0,-1.02,-0.010280381353958312,0.02587396752421748,0.048294678931218776,-0.010236129475226216,11.548205732447006,0.022909055001481216,-619780.0,0.2006819194482652,0.05792316572403289,0.0,0.0,54.60200617382755,527.2573983353013,0.7786503828604765,0.05231976698691902,0.04091748297178857,0.03796237336059394,-0.04189338419396871,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.67,Greed,False
2021-05-10,55848.9,58251.2,59523.9,53678.3,142610.0,-4.1,-0.04189338419396871,-0.010280381353958312,0.1046681313329358,-0.0412403521300848,11.867875922837214,0.37667728545226375,-762390.0,0.2300977766304173,0.01510352942181492,0.0,0.0,48.36947264914487,351.5347941929606,0.5729542648216859,0.05499379320170779,0.03624273833870356,0.038341330473772535,0.01504854040737607,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.73,Greed,False
2021-05-11,56695.7,55846.1,56871.1,54550.4,96470.0,1.52,0.01504854040737607,-0.04189338419396871,0.04093255749554194,0.015213237808906953,11.476997724027738,-0.3235397237220391,-665920.0,-0.1265362872020882,0.02780896386279541,0.0,0.0,50.52483336232884,279.22723013725715,0.6342554485831511,0.05447213305922168,0.036692366973554776,0.03845711813635822,-0.13806783513727827,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.72,Greed,False
2021-05-12,49384.2,56694.5,57938.5,49187.0,160740.0,-12.9,-0.13806783513727827,0.01504854040737607,0.17721254976287965,-0.12894196086040097,11.987549652974183,0.6662174769358349,-826660.0,0.2413803459875059,-0.10283044910344719,0.0,0.0,36.39667789723564,-245.75137034700063,0.03552844316520512,0.07151607772757858,0.0566795585444167,0.04579555933014699,0.006466949173497877,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.61,Greed,False
2021-05-13,49704.6,49398.2,51337.3,46331.1,236710.0,0.65,0.006466949173497877,-0.13806783513727827,0.10071904813638988,0.006202655157475403,12.374595266750111,0.4726266019659078,-589950.0,-0.2863450511697675,-0.09582783171838927,0.0,0.0,37.2250729536359,-539.3250154725489,0.08304010365300989,0.07426331911792011,0.05652897347778637,0.04415179678512952,0.0027163774784602556,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.68,Greed,False
2021-05-14,49839.8,49704.9,51459.2,48874.0,118840.0,0.27,0.0027163774784602556,0.006466949173497877,0.05187019209547384,0.002714018135032994,11.685541744216334,-0.49795107937983185,-471110.0,-0.2014408000678024,-0.0931629598522854,0.0,0.0,37.59443298587596,-683.058702587833,0.09736520829288924,0.07083481188012106,0.054091267965770594,0.04419627012101986,-0.06488127787635756,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.31,Fear,False
2021-05-15,46708.8,49839.1,50640.9,46650.2,131910.0,-6.28,-0.06488127787635756,0.0027163774784602556,0.0854378618161889,-0.06280811651895792,11.789882731740619,0.1099798047795355,-603020.0,0.2799983018827874,-0.14838469715008762,0.0,0.0,32.783685930740816,-932.225274126906,-0.0926837656220984,0.07951438334042897,0.04988867102326081,0.04533943312574513,-0.006064320803756851,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.26,Fear,False
2021-05-16,46426.4,46729.3,49764.3,43920.8,180070.0,-0.6,-0.006064320803756851,-0.06488127787635756,0.12586588665069873,-0.006482014496258267,12.101106496544032,0.3650974149041013,-783090.0,0.2986136446552352,-0.1476326428585658,0.0,0.0,32.38120226370428,-1050.4976845195765,-0.013452234830421824,0.08628388158461567,0.05010292455701424,0.04519542684112555,-0.06415834998706338,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.27,Fear,False
2021-05-17,43541.3,46424.2,46545.4,42201.5,274760.0,-6.21,-0.06415834998706338,-0.006064320803756851,0.09976505065305816,-0.06209907763623271,12.523656907861158,0.5258510579219193,-1057850.0,0.35086643936201467,-0.19207627507441383,0.0,0.0,28.52783693164841,-1244.2320722596824,-0.0614191923894717,0.09525127374961902,0.05017253553898396,0.04624658705725941,-0.014901026072462745,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.2,Extreme Fear,False
2021-05-18,42897.3,43538.5,45770.9,42293.9,154960.0,-1.48,-0.014901026072462745,-0.06415834998706338,0.08105405235294529,-0.014727195470675313,11.95092875133832,-0.43601688746542433,-1212810.0,0.14648579666304307,-0.19510661568312448,0.0,0.0,27.734465253265242,-1329.2510657667742,0.0014457703695725055,0.09670988283977913,0.046900946155502686,0.04506599073421947,-0.15547370467309485,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.27,Fear,False
2021-05-19,36720.5,42898.3,43516.6,30261.7,607100.0,-14.4,-0.15547370467309485,-0.014901026072462745,0.360967307090045,-0.1440103687092496,13.316450448292263,2.9177852348993287,-1819910.0,0.5005730493646985,-0.2999433880772565,0.0,0.0,21.54540326689201,-1691.7332585205677,-0.11504009146772524,0.13060104612643386,0.0601654386742804,0.05240540108676772,0.10331542538173562,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.21,Extreme Fear,False
2021-05-20,40717.2,36706.8,42425.9,35010.4,269750.0,10.88,0.10331542538173562,-0.15547370467309485,0.1821220516145511,0.1092549609336688,12.505254590249747,-0.5556745182012848,-1550160.0,-0.14822161535460543,-0.2109598852480048,0.0,0.0,32.103278686428794,-1556.0172885415623,0.09840838434789895,0.125404006169383,0.07658232722741357,0.05641089461279526,-0.08772698847263183,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.23,Extreme Fear,False
2021-05-21,37297.4,40611.2,42108.3,33592.3,315500.0,-8.4,-0.08772698847263183,0.10331542538173562,0.22832690750561702,-0.08159817981246542,12.66191713053049,0.16960148285449494,-1865660.0,0.20352737781906383,-0.26257624983997474,0.0,0.0,28.561488597884377,-1584.91204282343,0.04636012534918454,0.14681643837295438,0.07652273675258195,0.05775540802826796,0.004037695947995023,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.11,Extreme Fear,False
2021-05-22,37448.3,37291.0,38776.0,35314.9,185830.0,0.4,0.004037695947995023,-0.08772698847263183,0.09242342108987586,0.004218175967391674,12.132592937515662,-0.4109984152139461,-1679830.0,-0.09960550153832959,-0.24530130874119804,0.0,0.0,28.934058833605278,-1483.9808319324911,0.10637424214361808,0.14806012555977172,0.06955236439178858,0.05759108961443572,-0.07680681371852431,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.19,Extreme Fear,False
2021-05-23,34679.7,37446.8,38248.7,31192.4,325730.0,-7.39,-0.07680681371852431,0.004037695947995023,0.2034706182579433,-0.07389416452140117,12.693827166348173,0.7528386159392995,-2005560.0,0.19390652625563298,-0.2848911640507471,0.0,0.0,26.231052095490625,-1489.901579095199,0.07859290294191688,0.16862087701368317,0.06999518901895817,0.05884030185314854,0.11099173819455586,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.12,Extreme Fear,False
2021-05-24,38750.6,34720.3,39851.7,34474.6,244880.0,11.74,0.11099173819455586,-0.07680681371852431,0.138761722399137,0.11607906613710121,12.408527657243756,-0.24821170908421086,-1760680.0,-0.12210056044197137,-0.18840367233797917,0.0,0.0,35.737347746924286,-1122.6079893938986,0.23147230327335652,0.15004302237532172,0.0836845674735437,0.06300605738634465,-0.009654043854974263,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.14,Extreme Fear,False
2021-05-25,38378.3,38753.6,39740.8,36540.7,163010.0,-0.96,-0.009654043854974263,0.11099173819455586,0.08338305761328682,-0.009684261591181095,12.001572962174489,-0.3343270173146031,-1923690.0,0.09258354726582918,-0.1798281794285469,0.0,0.0,35.28945914031448,-821.6410137920493,0.24647881221447146,0.15313527249960077,0.08258756863493122,0.06294988195651949,0.02243886615961766,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.1,Extreme Fear,False
2021-05-26,39249.2,38375.7,40750.0,37847.0,153800.0,2.27,0.02243886615961766,-0.009654043854974263,0.07396329097153573,0.022761799784759628,11.943414837983129,-0.05649960125145692,-1769890.0,-0.07995051177684553,-0.145552679764686,0.0,0.0,37.269996089981646,-496.81265540364166,0.29458176997720653,0.13909382684415042,0.08359404379358416,0.059982115062244705,-0.02142318288211885,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.22,Extreme Fear,False
2021-05-27,38417.3,39249.0,40322.2,37190.8,122930.0,-2.12,-0.02142318288211885,0.02243886615961766,0.08151015297795508,-0.021190348798695434,11.719378501339111,-0.20071521456436936,-1892820.0,0.0694562938939709,-0.1460771858665174,-0.26191478524322176,0.0,36.13238944776457,-281.5928652687453,0.2903281050470002,0.13862002646873,0.08198039855914571,0.059753238006858354,-0.07440816243335588,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.22,Extreme Fear,False
2021-05-28,35662.5,38543.2,38844.1,34772.4,199580.0,-7.17,-0.07440816243335588,-0.02142318288211885,0.11417315106905004,-0.07473951306585849,12.203975447947847,0.6235255836655007,-2092400.0,0.1054405595883392,-0.1863508167805774,-0.30888843214211703,0.0,32.585403201080254,-268.428957931681,0.22332445417420432,0.15230524260177256,0.08429934292632867,0.06079969635511953,-0.030691220261630476,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.27,Fear,False
2021-05-29,34584.6,35664.5,37227.1,33664.2,160430.0,-3.02,-0.030691220261630476,-0.07440816243335588,0.10301984120099703,-0.030279409496838633,11.98561922257384,-0.19616194007415577,-2252830.0,0.07667272032116235,-0.1890616196023086,-0.32360761692541273,0.0,31.29104073471163,-274.97219288572524,0.20461745289109162,0.1561686002275166,0.06974550412357841,0.06085053890571209,0.030419188872578957,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.21,Extreme Fear,False
